Employee ID;Age;Gender;Years at Company;Job Role;Monthly Income;Work-Life Balance;Job Satisfaction;Performance Rating;Number of Promotions;Overtime;Distance from Home;Education Level;Marital Status;Number of Dependents;Job Level;Company Size;Company Tenure;Remote Work;Leadership Opportunities;Innovation Opportunities;Company Reputation;Employee Recognition;Attrition
8410;31;1;19;0;5390;3;0;1;2;0;22;2;1;0;1;0;89;0;0;0;3;1;Stayed
64756;59;0;4;1;5534;1;1;0;3;0;21;3;2;3;1;0;21;0;0;0;0;0;Stayed
30257;24;0;10;2;8159;2;1;0;0;0;11;1;1;3;1;0;74;0;0;0;1;0;Stayed
65791;36;0;7;0;3989;2;1;2;1;0;27;0;0;2;1;1;50;1;0;0;2;1;Stayed
65026;56;1;41;0;4821;0;2;1;0;1;71;0;2;0;2;0;68;0;0;0;0;1;Stayed
24368;38;0;3;3;9977;0;1;3;3;0;37;1;1;0;1;0;47;0;0;1;0;2;Left
64970;47;1;23;0;3681;0;1;2;1;1;75;0;2;3;0;1;93;0;0;0;2;1;Left
36999;48;1;16;4;11223;3;2;2;2;0;5;3;1;4;0;0;88;0;0;0;3;0;Stayed
32714;57;1;44;0;3773;2;0;2;1;1;39;0;1;4;0;0;75;0;0;0;0;1;Stayed
15944;24;0;1;2;7319;1;1;1;1;1;57;4;0;4;0;2;45;0;0;1;2;0;Left
29972;30;0;12;0;5443;2;1;1;1;0;51;0;0;1;0;1;17;0;0;0;2;1;Left
9063;29;0;6;2;8950;1;0;0;2;0;26;3;0;0;1;0;38;0;0;0;1;1;Left
21896;47;0;38;3;9039;0;2;2;1;0;78;2;1;0;0;1;68;0;0;0;2;0;Left
28098;31;1;22;2;8090;0;0;2;4;1;30;2;2;2;1;1;84;0;0;0;2;1;Stayed
22068;40;0;30;3;6350;2;1;1;0;0;98;0;0;0;2;2;96;0;0;0;2;2;Stayed
17696;40;0;4;4;5176;1;1;1;0;0;48;0;0;0;0;1;21;1;0;0;2;2;Left
55668;19;0;9;3;8242;3;0;1;2;1;17;0;0;3;1;1;63;0;0;0;0;2;Left
